ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
709427080,Oui,D (de 151 &agrave; 230),35000,,460.0,Non meublé,2,5137,,Appartement,Rennes,709427080
709432563,Oui,D (de 151 &agrave; 230),35000,,600.0,Non meublé,4,4072,72 m,Appartement,Rennes,709432563
709386432,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),525.0,Non meublé,2,,48 m,Appartement,Rennes,709386432
709368532,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),485.0,Non meublé,2,,30 m,Appartement,Rennes,709368532
686669335,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),660.0,Non meublé,2,,46 m,Appartement,Rennes,686669335
709292529,,D (de 151 &agrave; 230),35000,,380.0,Non meublé,2,,25 m,Appartement,Rennes,709292529
709275127,,,35000,I (146 et plus),280.0,Meublé,1,,10 m,Appartement,Rennes,709275127
709256163,,,35000,,480.0,Non meublé,2,,28 m,Appartement,Rennes,709256163
709251727,,,35000,,500.0,,2,,40 m,Appartement,Rennes,709251727
709251223,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),350.0,Meublé,1,,15 m,Appartement,Rennes,709251223
709218364,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),600.0,Non meublé,2,,40 m,Appartement,Rennes,709218364
709198870,,,35000,,400.0,Non meublé,2,,30 m,Appartement,Rennes,709198870
709133985,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),750.0,Meublé,2,,38 m,Appartement,Rennes,709133985
709121757,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),480.0,Non meublé,2,,30 m,Appartement,Rennes,709121757
709113990,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),519.0,Non meublé,2,,39 m,Appartement,Rennes,709113990
709049108,,,35000,,720.0,Non meublé,3,,70 m,Appartement,Rennes,709049108
708989390,,,35000,,567.0,Non meublé,2,,35 m,Appartement,Rennes,708989390
708960514,,,35000,,530.0,Non meublé,2,,39 m,Appartement,Rennes,708960514
708942781,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),495.0,Non meublé,2,,40 m,Appartement,Rennes,708942781
708912982,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),570.0,Non meublé,2,mb0330-14,32 m,Appartement,Rennes,708912982
708900644,Oui,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),705.0,Non meublé,4,g12614am,82 m,Appartement,Rennes,708900644
708877376,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),390.0,Non meublé,1,,21 m,Appartement,Rennes,708877376
